Swiss,39.31|Swiss,13.18
Wensleydale,12.03|Wensleydale,26.79
Cheddar,20.67|Wensleydale,38.16
Wensleydale,0.43|Cheddar,13.90
Wensleydale,17.36|Wensleydale,6.09
Cheddar,44.19|Wensleydale,3.43
Cheddar,65.01|Cheddar,0.56
Cheddar,16.45|Cheddar,12.29
Wensleydale,37.00|Wensleydale,15.36
Wensleydale,33.68|Cheddar,35.51
Cheddar,33.39|Wensleydale,12.78
Cheddar,0.28|Swiss,3.97
Cheddar,70.05|Wensleydale,37.58
Cheddar,26.63|Wensleydale,7.90
Cheddar,6.82|Cheddar,75.27
Cheddar,12.92|Wensleydale,9.04
Cheddar,11.32|Wensleydale,0.62
Cheddar,66.45|Wensleydale,12.64
Cheddar,54.84|Wensleydale,2.77
Wensleydale,2.75|Swiss,34.98
Wensleydale,18.76|Wensleydale,15.51
Swiss,42.84|Wensleydale,13.26
Wensleydale,1.12|Swiss,7.85
Wensleydale,64.78|Swiss,0.85
Swiss,35.20|Swiss,3.03
Swiss,15.62|Cheddar,3.59
Wensleydale,13.41|Swiss,15.67
Wensleydale,77.21|Swiss,48.90
Wensleydale,9.96|Cheddar,7.59
Swiss,4.31|Swiss,26.38
Wensleydale,2.36|Swiss,26.42
Wensleydale,11.81|Cheddar,22.48
Wensleydale,36.91|Wensleydale,36.09
Cheddar,4.74|Wensleydale,43.81
Swiss,1.18|Wensleydale,19.82
Swiss,11.27|Swiss,4.81
Wensleydale,19.06|Swiss,9.74
Cheddar,17.36|Swiss,19.23
Wensleydale,10.46|Cheddar,2.11
Swiss,42.48|Swiss,22.66
Swiss,27.69|Wensleydale,36.92
Wensleydale,68.14|Cheddar,10.08
Swiss,16.79|Swiss,1.54
Cheddar,15.57|Cheddar,14.66
Wensleydale,8.45|Wensleydale,2.42
Swiss,4.25|Swiss,15.17
Cheddar,5.99|Swiss,44.90
Swiss,11.33|Swiss,6.05
Swiss,4.14|Wensleydale,53.21
Wensleydale,6.88|Wensleydale,8.94
Cheddar,3.34|Cheddar,6.67
Cheddar,83.66|Swiss,16.86
Cheddar,6.19|Swiss,0.00
Swiss,30.16|Swiss,21.93
Swiss,9.35|Wensleydale,16.28
Cheddar,12.09|Cheddar,16.14
Wensleydale,27.41|Cheddar,0.77
Cheddar,79.01|Swiss,14.81
Swiss,26.85|Wensleydale,49.09
Swiss,1.32|Swiss,0.09
Wensleydale,21.60|Swiss,3.00
Cheddar,1.22|Cheddar,8.42
Swiss,46.54|Swiss,18.48
Wensleydale,9.67|Wensleydale,6.30
Cheddar,7.67|Cheddar,30.23
Swiss,13.28|Wensleydale,1.14
Wensleydale,27.73|Cheddar,10.42
Wensleydale,19.67|Swiss,3.47
Cheddar,1.39|Cheddar,1.69
Wensleydale,10.69|Swiss,13.89
Wensleydale,52.40|Swiss,2.59
Swiss,0.23|Wensleydale,11.61
Cheddar,16.66|Cheddar,1.78
Cheddar,16.10|Swiss,7.72
Cheddar,17.17|Swiss,12.01
Wensleydale,51.60|Wensleydale,7.42
Swiss,5.97|Cheddar,18.38
Cheddar,10.43|Wensleydale,50.00
Wensleydale,9.03|Cheddar,16.42
Cheddar,41.42|Wensleydale,9.64
Cheddar,2.51|Cheddar,54.62
Swiss,6.10|Wensleydale,2.43
Wensleydale,8.87|Wensleydale,62.77
Swiss,5.95|Cheddar,0.66
Cheddar,67.30|Swiss,1.84
Swiss,5.17|Wensleydale,42.72
Cheddar,1.50|Wensleydale,4.20
Swiss,22.48|Swiss,17.88
Swiss,14.32|Swiss,17.69
Cheddar,39.37|Wensleydale,28.42
Swiss,83.77|Wensleydale,52.91
Swiss,10.31|Swiss,22.39
Cheddar,23.71|Cheddar,45.48
Swiss,40.26|Wensleydale,33.89
Swiss,29.14|Wensleydale,13.51
Wensleydale,49.28|Wensleydale,55.49
Wensleydale,39.88|Swiss,34.39
Wensleydale,2.54|Cheddar,30.26
Wensleydale,47.82|Swiss,0.48
Swiss,13.63|Wensleydale,80.76
Cheddar,30.57|Cheddar,1.45
Wensleydale,34.87|Cheddar,11.52
Wensleydale,3.91|Swiss,0.08
Swiss,28.25|Cheddar,1.66
Wensleydale,1.90|Cheddar,4.83
Swiss,14.41|Swiss,53.24
Cheddar,77.40|Cheddar,29.29
Cheddar,0.57|Swiss,58.74
Swiss,5.61|Cheddar,52.83
Swiss,58.66|Wensleydale,13.57
Swiss,20.17|Cheddar,43.59
Cheddar,16.67|Cheddar,13.76
Cheddar,1.57|Swiss,15.20
Cheddar,8.51|Cheddar,0.91
Swiss,2.46|Wensleydale,15.61
Cheddar,62.55|Cheddar,15.10
Swiss,8.08|Cheddar,32.39
Wensleydale,35.10|Swiss,65.50
Swiss,23.02|Cheddar,83.93
Swiss,0.01|Wensleydale,13.56
Cheddar,2.50|Cheddar,57.02
Wensleydale,33.81|Cheddar,17.69
Swiss,37.91|Wensleydale,8.84
Wensleydale,19.89|Cheddar,9.62
Cheddar,29.77|Swiss,0.15
Wensleydale,61.26|Cheddar,13.32
Wensleydale,5.46|Wensleydale,0.56
Cheddar,33.29|Wensleydale,18.77
Swiss,10.68|Swiss,67.04
Cheddar,29.77|Wensleydale,57.85
Swiss,31.95|Swiss,54.38
Swiss,1.04|Swiss,81.70
Swiss,30.03|Wensleydale,14.34
Wensleydale,57.18|Swiss,0.55
Swiss,18.52|Cheddar,56.27
Wensleydale,31.79|Cheddar,44.11
Swiss,4.11|Swiss,30.53
Cheddar,0.38|Wensleydale,23.03
Cheddar,55.13|Cheddar,38.01
Cheddar,8.19|Cheddar,55.20
Cheddar,7.79|Wensleydale,7.78
Cheddar,18.06|Wensleydale,65.05
Cheddar,3.57|Cheddar,39.86
Wensleydale,7.91|Cheddar,35.62
Swiss,25.80|Wensleydale,10.51
Cheddar,11.21|Wensleydale,73.75
Wensleydale,0.00|Cheddar,17.59
Swiss,71.47|Swiss,49.57
Wensleydale,4.34|Swiss,59.49
Cheddar,19.31|Cheddar,31.60
Cheddar,3.32|Swiss,39.75
Cheddar,9.90|Cheddar,39.45
Cheddar,0.84|Wensleydale,2.62
Swiss,5.75|Cheddar,31.38
Wensleydale,16.13|Swiss,17.70
Wensleydale,47.44|Cheddar,12.73
Cheddar,0.06|Wensleydale,81.88
Swiss,35.07|Swiss,6.75
Wensleydale,0.00|Wensleydale,4.92
Swiss,10.06|Swiss,65.98
Wensleydale,11.58|Swiss,12.47
Cheddar,7.66|Cheddar,10.44
Cheddar,1.68|Cheddar,15.67
Cheddar,12.33|Swiss,4.85
Swiss,0.83|Wensleydale,0.61
Cheddar,24.65|Wensleydale,58.36
Cheddar,0.49|Cheddar,15.03
Cheddar,16.17|Cheddar,20.55
Wensleydale,2.23|Wensleydale,14.85
Wensleydale,5.78|Cheddar,39.09
Swiss,24.32|Wensleydale,4.90
Wensleydale,87.90|Swiss,19.54
Cheddar,26.58|Wensleydale,10.97
Wensleydale,11.60|Wensleydale,1.78
Swiss,23.44|Cheddar,37.40
Cheddar,17.15|Cheddar,29.21
Cheddar,4.97|Swiss,40.58
Swiss,3.08|Wensleydale,5.87
Swiss,63.17|Cheddar,23.86
Swiss,53.89|Swiss,53.25
Wensleydale,4.68|Wensleydale,1.25
Swiss,22.22|Wensleydale,0.05
Swiss,4.72|Wensleydale,1.22
Cheddar,41.99|Cheddar,1.00
Cheddar,58.38|Cheddar,6.54
Cheddar,16.51|Cheddar,3.40
Wensleydale,47.15|Wensleydale,45.34
Cheddar,2.04|Cheddar,10.67
Wensleydale,4.90|Swiss,35.81
Cheddar,46.88|Wensleydale,86.84
Cheddar,4.08|Swiss,0.55
Swiss,4.67|Cheddar,26.51
Wensleydale,31.65|Cheddar,14.50
Wensleydale,6.80|Cheddar,6.54
Swiss,11.02|Wensleydale,15.30
Swiss,2.32|Wensleydale,41.98
Cheddar,14.38|Wensleydale,31.37
Cheddar,67.73|Wensleydale,11.13
Swiss,0.00|Cheddar,2.19
Cheddar,8.25|Swiss,68.34
Swiss,0.14|Cheddar,53.49
Swiss,19.83|Cheddar,4.85
Cheddar,36.60|Wensleydale,0.73
Cheddar,1.42|Cheddar,17.75
Wensleydale,20.63|Wensleydale,5.84
Wensleydale,13.93|Cheddar,0.97
Wensleydale,21.97|Wensleydale,4.70
Cheddar,1.23|Swiss,16.89
Swiss,7.59|Wensleydale,46.52
Cheddar,63.71|Cheddar,72.43
Swiss,39.28|Cheddar,14.60
Cheddar,31.18|Cheddar,84.88
Swiss,31.09|Wensleydale,5.76
Wensleydale,6.79|Wensleydale,9.40
Cheddar,74.85|Wensleydale,15.91
Swiss,0.00|Wensleydale,40.94
Cheddar,1.00|Cheddar,21.49
Wensleydale,4.57|Cheddar,19.24
Wensleydale,62.45|Wensleydale,41.17
Swiss,0.60|Swiss,50.79
Swiss,46.57|Swiss,17.03
Swiss,6.22|Cheddar,1.20
Wensleydale,14.06|Wensleydale,18.04
Cheddar,56.89|Wensleydale,0.00
Wensleydale,3.13|Wensleydale,6.62
Wensleydale,22.92|Swiss,1.32
Cheddar,22.44|Wensleydale,12.70
Swiss,13.18|Wensleydale,5.81
Wensleydale,8.77|Cheddar,0.39
Wensleydale,0.84|Wensleydale,50.02
Wensleydale,51.45|Wensleydale,11.62
Swiss,46.50|Cheddar,61.25
Wensleydale,25.68|Swiss,37.17
Cheddar,60.84|Swiss,19.33
Wensleydale,0.93|Wensleydale,12.59
Cheddar,34.12|Cheddar,0.28
Cheddar,76.20|Swiss,9.53
Swiss,18.11|Wensleydale,0.96
Wensleydale,2.43|Cheddar,10.08
Swiss,10.40|Cheddar,10.72
Wensleydale,40.86|Swiss,12.93
Wensleydale,45.27|Wensleydale,54.09
Wensleydale,6.85|Wensleydale,2.88
Swiss,21.61|Wensleydale,13.45
Swiss,3.51|Swiss,34.68
Cheddar,18.51|Wensleydale,5.40
Cheddar,9.73|Swiss,4.75
Wensleydale,15.09|Swiss,14.15
Wensleydale,76.08|Cheddar,35.38
Wensleydale,24.90|Cheddar,41.61
Wensleydale,37.37|Cheddar,0.01
Cheddar,10.51|Wensleydale,5.99
Wensleydale,49.56|Cheddar,66.20
Swiss,35.86|Swiss,25.26
Cheddar,59.54|Cheddar,9.95
Swiss,68.10|Cheddar,0.89
Cheddar,15.53|Wensleydale,16.24
Cheddar,49.63|Cheddar,55.78
Swiss,22.06|Wensleydale,34.34
Swiss,66.12|Cheddar,18.31
Wensleydale,51.15|Swiss,4.51
Swiss,15.70|Wensleydale,5.79
Cheddar,16.16|Swiss,3.67
Cheddar,18.94|Cheddar,6.23
Swiss,24.58|Wensleydale,52.60
Wensleydale,1.78|Swiss,47.58
Swiss,25.17|Cheddar,1.69
Cheddar,30.41|Swiss,16.91
Swiss,6.82|Swiss,51.69
Wensleydale,23.72|Swiss,0.00
Swiss,3.71|Cheddar,42.64
Swiss,39.41|Swiss,53.33
Swiss,62.86|Swiss,20.80
Swiss,28.81|Cheddar,0.17
Cheddar,56.01|Swiss,12.96
Swiss,30.60|Swiss,55.12
Wensleydale,6.36|Swiss,11.92
Wensleydale,81.26|Swiss,5.69
Cheddar,0.14|Swiss,28.51
Wensleydale,5.43|Cheddar,3.79
Wensleydale,4.62|Swiss,1.49
Cheddar,0.00|Swiss,6.44
Swiss,6.20|Wensleydale,2.08
Swiss,0.97|Cheddar,2.34
Cheddar,9.21|Swiss,46.26
Cheddar,3.92|Wensleydale,54.52
Wensleydale,73.51|Swiss,52.62
Wensleydale,26.10|Swiss,87.78
Wensleydale,16.76|Cheddar,7.54
Swiss,23.76|Swiss,31.33
Swiss,1.54|Cheddar,49.05
Swiss,65.71|Cheddar,46.30
Cheddar,24.38|Wensleydale,8.49
Wensleydale,36.22|Cheddar,12.84
Cheddar,30.26|Cheddar,19.89
Wensleydale,27.30|Wensleydale,71.26
Cheddar,21.60|Wensleydale,54.40
Wensleydale,1.03|Wensleydale,26.51
Cheddar,51.76|Cheddar,18.65
Swiss,8.87|Swiss,1.91
Cheddar,57.10|Wensleydale,6.16
Cheddar,7.07|Cheddar,27.33
Swiss,15.61|Cheddar,27.26
Swiss,21.84|Swiss,43.77
Cheddar,6.59|Swiss,6.64
Cheddar,47.69|Wensleydale,0.26
Wensleydale,1.23|Wensleydale,35.42
Cheddar,10.67|Cheddar,17.28
Cheddar,17.54|Swiss,2.16
Swiss,6.64|Cheddar,11.40
Swiss,74.98|Swiss,2.24
Wensleydale,2.14|Wensleydale,10.47
Swiss,17.42|Cheddar,9.33
Swiss,4.77|Swiss,20.98
Cheddar,45.12|Cheddar,1.11
Cheddar,2.32|Cheddar,0.46
Wensleydale,8.96|Swiss,45.69
Wensleydale,10.16|Swiss,14.76
Cheddar,2.22|Wensleydale,41.96
Swiss,17.60|Wensleydale,24.35
Swiss,14.17|Wensleydale,21.35
Swiss,17.76|Wensleydale,26.05
Wensleydale,32.30|Swiss,8.36
Swiss,14.59|Wensleydale,5.94
Cheddar,8.22|Swiss,26.95
Swiss,14.37|Swiss,16.26
Cheddar,2.00|Cheddar,8.22
Swiss,43.92|Swiss,8.58
Wensleydale,1.09|Wensleydale,6.15
Cheddar,36.79|Wensleydale,39.10
Cheddar,4.24|Wensleydale,63.75
Wensleydale,28.94|Swiss,33.37
Cheddar,22.13|Cheddar,24.13
Swiss,0.52|Wensleydale,67.39
Cheddar,9.14|Swiss,55.94
Wensleydale,23.59|Cheddar,21.32
Wensleydale,0.24|Cheddar,21.31
Wensleydale,71.22|Cheddar,1.99
Swiss,3.03|Wensleydale,23.67
Wensleydale,3.30|Swiss,12.34
Wensleydale,12.28|Wensleydale,29.77
Wensleydale,28.48|Cheddar,67.69
Swiss,20.22|Cheddar,13.91
Wensleydale,5.51|Cheddar,24.06
Cheddar,14.43|Swiss,22.52
Cheddar,62.50|Swiss,33.87
Cheddar,16.36|Cheddar,0.27
Swiss,15.63|Cheddar,0.44
Swiss,26.63|Cheddar,37.89
Cheddar,50.41|Swiss,9.19
Wensleydale,23.56|Swiss,0.89
Wensleydale,28.93|Cheddar,55.96
Swiss,1.52|Wensleydale,6.08
Cheddar,38.11|Swiss,11.60
Swiss,50.46|Wensleydale,1.42
Wensleydale,65.53|Swiss,14.10
Wensleydale,29.35|Swiss,34.49
Swiss,40.12|Wensleydale,31.18
Cheddar,34.12|Cheddar,6.78
Cheddar,5.59|Swiss,3.56
Cheddar,37.59|Cheddar,31.74
Wensleydale,23.18|Cheddar,0.00
Wensleydale,35.89|Swiss,51.34
Wensleydale,0.12|Swiss,4.86
Wensleydale,12.47|Swiss,48.07
Wensleydale,45.17|Swiss,43.82
Swiss,0.22|Cheddar,46.27
Wensleydale,3.56|Cheddar,10.31
Swiss,6.65|Swiss,24.64
Cheddar,24.45|Cheddar,19.08
Cheddar,61.17|Wensleydale,0.88
Wensleydale,18.96|Cheddar,36.60
Swiss,27.26|Cheddar,1.23
Swiss,39.42|Swiss,40.97
Wensleydale,21.11|Cheddar,43.89
Cheddar,2.19|Swiss,49.81
Cheddar,15.94|Cheddar,18.53
Wensleydale,0.76|Cheddar,18.16
Cheddar,18.87|Wensleydale,0.00
Swiss,38.10|Wensleydale,41.94
Wensleydale,4.83|Cheddar,29.86
Wensleydale,58.29|Cheddar,25.48
Cheddar,62.92|Wensleydale,8.38
Wensleydale,2.27|Swiss,1.82
Swiss,23.45|Swiss,32.38
Cheddar,13.55|Wensleydale,1.98
Wensleydale,4.76|Cheddar,3.08
Cheddar,45.77|Swiss,32.14
Wensleydale,46.58|Cheddar,9.24
Wensleydale,22.83|Cheddar,11.49
Wensleydale,40.74|Cheddar,17.01
Swiss,27.55|Cheddar,0.02
Cheddar,17.83|Cheddar,13.71
Cheddar,23.00|Swiss,5.39
Swiss,29.90|Swiss,3.74
Wensleydale,19.83|Cheddar,33.50
Swiss,10.76|Swiss,3.80
Cheddar,4.29|Wensleydale,44.56
Cheddar,10.02|Swiss,7.80
Wensleydale,1.78|Cheddar,32.48
Swiss,0.00|Wensleydale,3.72
Cheddar,69.47|Wensleydale,10.68
Swiss,14.34|Wensleydale,57.08
Swiss,17.34|Wensleydale,2.41
Swiss,3.71|Wensleydale,11.75
Swiss,25.48|Swiss,33.96
Swiss,23.89|Cheddar,5.97
Cheddar,2.52|Wensleydale,30.70
Swiss,3.65|Cheddar,37.02
Cheddar,23.22|Wensleydale,17.35
Wensleydale,13.38|Cheddar,45.93
Swiss,29.04|Cheddar,21.32
Swiss,4.68|Wensleydale,52.35
Swiss,4.37|Wensleydale,59.70
Wensleydale,7.17|Swiss,5.27
Swiss,25.58|Swiss,1.05
Cheddar,43.86|Wensleydale,18.10
Wensleydale,40.26|Wensleydale,33.55
Cheddar,86.09|Swiss,10.11
Wensleydale,13.39|Wensleydale,24.55
Wensleydale,7.37|Cheddar,4.19
Cheddar,41.24|Cheddar,1.19
Wensleydale,0.87|Cheddar,0.16
Cheddar,67.04|Wensleydale,9.30
Cheddar,9.67|Cheddar,1.09
