Number of Comparisons : 75760
Swiss , 0.0 , 0.0 , Cheddar , 0.12 , 0.3
Wensleydale , 0.0 , 0.0 , Cheddar , 91.13 , 227.825
Wensleydale , 0.0 , 0.0 , Wensleydale , 18.17 , 249.83750000000003
Swiss , 0.0 , 0.0 , Swiss , 27.86 , 264.67
Swiss , 0.0 , 0.0 , Swiss , 28.71 , 272.745
Swiss , 0.0 , 0.0 , Swiss , 29.57 , 280.915
Wensleydale , 0.0 , 0.0 , Wensleydale , 21.32 , 293.15
Cheddar , 0.0 , 0.0 , Swiss , 35.41 , 336.395
Swiss , 0.0 , 0.0 , Swiss , 37.55 , 356.72499999999997
Swiss , 0.0 , 0.0 , Wensleydale , 26.68 , 366.85
Wensleydale , 0.0 , 0.0 , Swiss , 40.66 , 386.27
Swiss , 0.0 , 0.0 , Swiss , 40.94 , 388.92999999999995
Swiss , 0.0 , 0.0 , Wensleydale , 28.3 , 389.125
Cheddar , 0.0 , 0.0 , Wensleydale , 28.68 , 394.35
Wensleydale , 0.0 , 0.0 , Swiss , 42.66 , 405.27
Wensleydale , 0.0 , 0.0 , Swiss , 43.22 , 410.59
Wensleydale , 0.0 , 0.0 , Swiss , 43.91 , 417.145
Wensleydale , 0.0 , 0.0 , Wensleydale , 30.35 , 417.3125
Wensleydale , 0.0 , 0.0 , Swiss , 44.87 , 426.265
Swiss , 0.0 , 0.0 , Wensleydale , 31.72 , 436.15
Wensleydale , 0.0 , 0.0 , Swiss , 47.45 , 450.77500000000003
Swiss , 0.0 , 0.0 , Swiss , 50.07 , 475.665
Cheddar , 0.0 , 0.0 , Swiss , 51.92 , 493.24
Wensleydale , 0.0 , 0.0 , Swiss , 53.67 , 509.865
Wensleydale , 0.0 , 0.0 , Swiss , 58.28 , 553.66
Wensleydale , 0.0 , 0.0 , Wensleydale , 40.44 , 556.05
Swiss , 0.0 , 0.0 , Wensleydale , 40.62 , 558.525
Cheddar , 0.0 , 0.0 , Swiss , 59.47 , 564.965
Swiss , 0.0 , 0.0 , Swiss , 60.71 , 576.745
Wensleydale , 0.0 , 0.0 , Swiss , 63.31 , 601.445
Cheddar , 0.0 , 0.0 , Wensleydale , 43.91 , 603.7624999999999
Cheddar , 0.0 , 0.0 , Wensleydale , 44.79 , 615.8625
Swiss , 0.0 , 0.0 , Wensleydale , 45.58 , 626.725
Wensleydale , 0.0 , 0.0 , Swiss , 67.1 , 637.4499999999999
Wensleydale , 0.0 , 0.0 , Swiss , 67.36 , 639.92
Wensleydale , 0.0 , 0.0 , Wensleydale , 47.32 , 650.65
Cheddar , 0.0 , 0.0 , Swiss , 75.03 , 712.785
Cheddar , 0.0 , 0.0 , Wensleydale , 51.93 , 714.0375
Wensleydale , 0.0 , 0.0 , Wensleydale , 53.05 , 729.4375
Cheddar , 0.0 , 0.0 , Swiss , 80.27 , 762.5649999999999
Cheddar , 0.0 , 0.0 , Wensleydale , 63.75 , 876.5625
Cheddar , 0.0 , 0.0 , Swiss , 96.66 , 918.27
Cheddar , 0.01 , 0.025 , Swiss , 0.66 , 6.2700000000000005
Cheddar , 0.01 , 0.025 , Wensleydale , 54.52 , 749.6500000000001
Cheddar , 0.02 , 0.05 , Swiss , 38.49 , 0.0
Cheddar , 0.04 , 0.1 , Swiss , 15.49 , 147.155
Cheddar , 0.04 , 0.1 , Cheddar , 74.83 , 187.075
Cheddar , 0.04 , 0.1 , Swiss , 41.12 , 390.64
Wensleydale , 0.01 , 0.1375 , Wensleydale , 23.29 , 0.0
Cheddar , 0.07 , 0.17500000000000002 , Wensleydale , 2.72 , 0.0
Swiss , 0.02 , 0.19 , Cheddar , 10.25 , 25.625
Swiss , 0.02 , 0.19 , Cheddar , 12.91 , 32.275
Swiss , 0.02 , 0.19 , Wensleydale , 4.97 , 68.33749999999999
Swiss , 0.02 , 0.19 , Wensleydale , 6.64 , 91.3
Swiss , 0.02 , 0.19 , Wensleydale , 7.53 , 103.53750000000001
Swiss , 0.02 , 0.19 , Wensleydale , 23.92 , 328.90000000000003
Swiss , 0.02 , 0.19 , Wensleydale , 63.85 , 877.9375
Cheddar , 0.08 , 0.2 , Cheddar , 6.68 , 16.7
Cheddar , 0.08 , 0.2 , Swiss , 30.65 , 291.175
Cheddar , 0.09 , 0.22499999999999998 , Wensleydale , 0.12 , 1.65
Cheddar , 0.09 , 0.22499999999999998 , Wensleydale , 1.31 , 18.0125
Cheddar , 0.09 , 0.22499999999999998 , Swiss , 38.17 , 362.615
Cheddar , 0.1 , 0.25 , Wensleydale , 9.72 , 133.65
Cheddar , 0.1 , 0.25 , Swiss , 14.24 , 135.28
Cheddar , 0.1 , 0.25 , Wensleydale , 46.68 , 641.85
Cheddar , 0.1 , 0.25 , Swiss , 69.64 , 661.58
Wensleydale , 0.02 , 0.275 , Wensleydale , 0.56 , 7.700000000000001
Wensleydale , 0.02 , 0.275 , Swiss , 8.69 , 82.55499999999999
Wensleydale , 0.02 , 0.275 , Wensleydale , 11.69 , 160.73749999999998
Cheddar , 0.11 , 0.275 , Wensleydale , 19.57 , 269.0875
Wensleydale , 0.02 , 0.275 , Swiss , 39.91 , 379.145
Cheddar , 0.11 , 0.275 , Swiss , 42.33 , 402.135
Wensleydale , 0.02 , 0.275 , Wensleydale , 31.29 , 430.2375
Swiss , 0.03 , 0.285 , Cheddar , 4.04 , 10.1
Swiss , 0.03 , 0.285 , Wensleydale , 2.76 , 37.949999999999996
Swiss , 0.03 , 0.285 , Wensleydale , 2.86 , 39.324999999999996
Swiss , 0.03 , 0.285 , Cheddar , 51.56 , 128.9
Cheddar , 0.13 , 0.325 , Cheddar , 0.11 , 0.275
Cheddar , 0.13 , 0.325 , Cheddar , 5.98 , 14.950000000000001
Cheddar , 0.13 , 0.325 , Wensleydale , 14.67 , 201.7125
Cheddar , 0.13 , 0.325 , Swiss , 86.41 , 820.895
Cheddar , 0.14 , 0.35000000000000003 , Swiss , 40.97 , 0.0
Cheddar , 0.15 , 0.375 , Cheddar , 1.93 , 4.825
Cheddar , 0.15 , 0.375 , Wensleydale , 42.58 , 585.475
Swiss , 0.04 , 0.38 , Swiss , 41.6 , 0.0
Cheddar , 0.16 , 0.4 , Swiss , 15.47 , 146.965
Cheddar , 0.16 , 0.4 , Wensleydale , 15.77 , 216.8375
Wensleydale , 0.03 , 0.4125 , Swiss , 8.14 , 77.33000000000001
Wensleydale , 0.03 , 0.4125 , Swiss , 10.25 , 97.375
Cheddar , 0.17 , 0.42500000000000004 , Swiss , 30.8 , 0.0
Cheddar , 0.18 , 0.44999999999999996 , Swiss , 10.35 , 98.325
Cheddar , 0.18 , 0.44999999999999996 , Wensleydale , 19.58 , 269.22499999999997
Cheddar , 0.19 , 0.475 , Wensleydale , 46.97 , 0.0
Wensleydale , 0.04 , 0.55 , Wensleydale , 6.34 , 87.175
Cheddar , 0.22 , 0.55 , Swiss , 23.02 , 218.69
Cheddar , 0.22 , 0.55 , Wensleydale , 24.95 , 343.0625
Swiss , 0.06 , 0.57 , Swiss , 31.42 , 298.49
Swiss , 0.06 , 0.57 , Swiss , 61.69 , 586.055
Swiss , 0.06 , 0.57 , Wensleydale , 67.89 , 933.4875
Cheddar , 0.23 , 0.5750000000000001 , Swiss , 49.96 , 0.0
Cheddar , 0.25 , 0.625 , Cheddar , 1.67 , 4.175
Cheddar , 0.25 , 0.625 , Wensleydale , 19.4 , 266.75
Cheddar , 0.26 , 0.65 , Cheddar , 9.75 , 24.375
Cheddar , 0.26 , 0.65 , Swiss , 3.25 , 30.875
Swiss , 0.07 , 0.665 , Cheddar , 6.85 , 17.125
Swiss , 0.07 , 0.665 , Swiss , 31.58 , 300.01
Cheddar , 0.27 , 0.675 , Cheddar , 23.43 , 58.575
Cheddar , 0.27 , 0.675 , Wensleydale , 17.25 , 237.1875
Cheddar , 0.27 , 0.675 , Swiss , 57.0 , 541.5
Cheddar , 0.27 , 0.675 , Swiss , 66.55 , 632.225
Wensleydale , 0.05 , 0.6875 , Swiss , 1.61 , 0.0
Cheddar , 0.28 , 0.7000000000000001 , Wensleydale , 0.45 , 6.1875
Cheddar , 0.28 , 0.7000000000000001 , Swiss , 14.77 , 140.315
Cheddar , 0.28 , 0.7000000000000001 , Swiss , 26.87 , 255.26500000000001
Cheddar , 0.29 , 0.725 , Swiss , 28.89 , 274.455
Cheddar , 0.29 , 0.725 , Wensleydale , 32.38 , 445.225
Cheddar , 0.3 , 0.75 , Cheddar , 20.68 , 51.7
Cheddar , 0.3 , 0.75 , Swiss , 52.59 , 499.605
Cheddar , 0.3 , 0.75 , Wensleydale , 37.07 , 509.7125
Swiss , 0.08 , 0.76 , Swiss , 34.1 , 0.0
Cheddar , 0.31 , 0.775 , Swiss , 23.79 , 226.005
Cheddar , 0.31 , 0.775 , Swiss , 33.97 , 322.715
Cheddar , 0.32 , 0.8 , Cheddar , 1.34 , 3.35
Cheddar , 0.32 , 0.8 , Cheddar , 10.16 , 25.4
Cheddar , 0.32 , 0.8 , Wensleydale , 25.19 , 346.3625
Cheddar , 0.32 , 0.8 , Swiss , 55.44 , 526.68
Cheddar , 0.32 , 0.8 , Wensleydale , 56.18 , 772.475
Wensleydale , 0.06 , 0.825 , Swiss , 22.77 , 0.0
Cheddar , 0.33 , 0.8250000000000001 , Swiss , 14.75 , 0.0
Cheddar , 0.34 , 0.8500000000000001 , Swiss , 35.14 , 333.83
Cheddar , 0.34 , 0.8500000000000001 , Wensleydale , 37.23 , 511.91249999999997
Swiss , 0.09 , 0.855 , Cheddar , 2.27 , 0.0
Cheddar , 0.37 , 0.925 , Cheddar , 0.75 , 1.875
Cheddar , 0.37 , 0.925 , Wensleydale , 7.28 , 100.10000000000001
Cheddar , 0.37 , 0.925 , Wensleydale , 12.41 , 170.6375
Swiss , 0.1 , 0.9500000000000001 , Swiss , 6.96 , 66.12
Swiss , 0.1 , 0.9500000000000001 , Swiss , 13.08 , 124.26
Cheddar , 0.39 , 0.9750000000000001 , Cheddar , 9.31 , 23.275000000000002
Cheddar , 0.39 , 0.9750000000000001 , Swiss , 40.38 , 383.61
Cheddar , 0.4 , 1.0 , Cheddar , 38.09 , 95.22500000000001
Cheddar , 0.4 , 1.0 , Cheddar , 94.24 , 235.6
Swiss , 0.11 , 1.045 , Cheddar , 7.64 , 0.0
Cheddar , 0.42 , 1.05 , Cheddar , 5.07 , 12.675
Cheddar , 0.42 , 1.05 , Swiss , 21.71 , 206.245
Cheddar , 0.42 , 1.05 , Cheddar , 91.98 , 229.95000000000002
Cheddar , 0.43 , 1.075 , Swiss , 20.83 , 0.0
Wensleydale , 0.08 , 1.1 , Swiss , 0.0 , 0.0
Wensleydale , 0.08 , 1.1 , Swiss , 0.26 , 2.47
Wensleydale , 0.08 , 1.1 , Cheddar , 4.36 , 10.9
Cheddar , 0.44 , 1.1 , Wensleydale , 3.67 , 50.4625
Wensleydale , 0.08 , 1.1 , Swiss , 52.58 , 499.51
Cheddar , 0.44 , 1.1 , Swiss , 76.19 , 723.805
Cheddar , 0.45 , 1.125 , Swiss , 11.39 , 108.20500000000001
Cheddar , 0.45 , 1.125 , Cheddar , 51.13 , 127.825
Swiss , 0.12 , 1.14 , Cheddar , 26.1 , 65.25
Swiss , 0.12 , 1.14 , Swiss , 8.32 , 79.04
Swiss , 0.12 , 1.14 , Swiss , 50.8 , 482.59999999999997
Cheddar , 0.46 , 1.1500000000000001 , Swiss , 3.99 , 0.0
Cheddar , 0.47 , 1.1749999999999998 , Cheddar , 15.56 , 0.0
Cheddar , 0.49 , 1.225 , Wensleydale , 34.44 , 473.54999999999995
Cheddar , 0.49 , 1.225 , Swiss , 75.63 , 718.4849999999999
Swiss , 0.13 , 1.235 , Wensleydale , 2.73 , 0.0
Cheddar , 0.51 , 1.275 , Swiss , 19.2 , 182.4
Cheddar , 0.51 , 1.275 , Swiss , 31.47 , 298.965
Cheddar , 0.51 , 1.275 , Swiss , 35.11 , 333.545
Cheddar , 0.52 , 1.3 , Cheddar , 3.07 , 7.675
Cheddar , 0.52 , 1.3 , Cheddar , 53.36 , 133.4
Cheddar , 0.53 , 1.3250000000000002 , Swiss , 29.85 , 0.0
Swiss , 0.14 , 1.33 , Swiss , 2.03 , 19.284999999999997
Swiss , 0.14 , 1.33 , Cheddar , 43.15 , 107.875
Swiss , 0.14 , 1.33 , Wensleydale , 10.32 , 141.9
Swiss , 0.14 , 1.33 , Wensleydale , 85.2 , 1171.5
Cheddar , 0.54 , 1.35 , Swiss , 22.63 , 214.98499999999999
Cheddar , 0.54 , 1.35 , Wensleydale , 33.79 , 464.6125
Cheddar , 0.55 , 1.375 , Wensleydale , 1.87 , 25.712500000000002
Wensleydale , 0.1 , 1.375 , Cheddar , 23.16 , 57.9
Wensleydale , 0.1 , 1.375 , Cheddar , 68.94 , 172.35
Wensleydale , 0.1 , 1.375 , Swiss , 20.46 , 194.37
Cheddar , 0.55 , 1.375 , Wensleydale , 35.36 , 486.2
Cheddar , 0.56 , 1.4000000000000001 , Cheddar , 21.21 , 0.0
Cheddar , 0.57 , 1.4249999999999998 , Swiss , 88.37 , 0.0
Swiss , 0.15 , 1.425 , Cheddar , 2.93 , 7.325
Swiss , 0.15 , 1.425 , Cheddar , 25.16 , 62.9
Cheddar , 0.59 , 1.4749999999999999 , Swiss , 21.35 , 0.0
Cheddar , 0.6 , 1.5 , Wensleydale , 25.92 , 356.40000000000003
Cheddar , 0.6 , 1.5 , Swiss , 53.43 , 507.585
Wensleydale , 0.11 , 1.5125 , Wensleydale , 0.05 , 0.6875
Wensleydale , 0.11 , 1.5125 , Cheddar , 71.32 , 178.29999999999998
Wensleydale , 0.11 , 1.5125 , Swiss , 23.86 , 226.67
Swiss , 0.16 , 1.52 , Swiss , 9.85 , 0.0
Cheddar , 0.61 , 1.525 , Cheddar , 18.52 , 46.3
Cheddar , 0.61 , 1.525 , Cheddar , 36.41 , 91.02499999999999
Cheddar , 0.62 , 1.55 , Wensleydale , 14.02 , 192.775
Cheddar , 0.62 , 1.55 , Wensleydale , 18.65 , 256.4375
Cheddar , 0.64 , 1.6 , Swiss , 8.3 , 78.85000000000001
Cheddar , 0.64 , 1.6 , Cheddar , 36.09 , 90.22500000000001
Cheddar , 0.64 , 1.6 , Wensleydale , 10.41 , 143.1375
Cheddar , 0.64 , 1.6 , Cheddar , 57.7 , 144.25
Swiss , 0.17 , 1.6150000000000002 , Wensleydale , 0.0 , 0.0
Swiss , 0.17 , 1.6150000000000002 , Cheddar , 5.86 , 14.65
Cheddar , 0.65 , 1.625 , Cheddar , 0.42 , 0.0
Wensleydale , 0.12 , 1.65 , Cheddar , 20.98 , 52.45
Wensleydale , 0.12 , 1.65 , Swiss , 29.3 , 278.35
Cheddar , 0.66 , 1.6500000000000001 , Swiss , 28.37 , 0.0
Cheddar , 0.67 , 1.675 , Wensleydale , 0.95 , 13.0625
Cheddar , 0.67 , 1.675 , Swiss , 3.4 , 32.3
Cheddar , 0.67 , 1.675 , Cheddar , 37.07 , 92.675
Cheddar , 0.67 , 1.675 , Swiss , 86.16 , 818.52
Cheddar , 0.68 , 1.7000000000000002 , Wensleydale , 11.06 , 0.0
Cheddar , 0.7 , 1.75 , Swiss , 7.36 , 0.0
Cheddar , 0.71 , 1.775 , Cheddar , 27.99 , 0.0
Wensleydale , 0.13 , 1.7875 , Swiss , 0.75 , 7.125
Wensleydale , 0.13 , 1.7875 , Cheddar , 15.94 , 39.85
Wensleydale , 0.13 , 1.7875 , Cheddar , 37.12 , 92.8
Wensleydale , 0.13 , 1.7875 , Swiss , 26.78 , 254.41000000000003
Cheddar , 0.72 , 1.7999999999999998 , Swiss , 65.77 , 0.0
Swiss , 0.19 , 1.805 , Cheddar , 6.93 , 0.0
Cheddar , 0.73 , 1.825 , Cheddar , 21.72 , 54.3
Cheddar , 0.73 , 1.825 , Wensleydale , 5.91 , 81.2625
Cheddar , 0.73 , 1.825 , Wensleydale , 12.52 , 172.15
Cheddar , 0.74 , 1.85 , Cheddar , 10.31 , 25.775000000000002
Cheddar , 0.74 , 1.85 , Swiss , 2.88 , 27.36
Cheddar , 0.74 , 1.85 , Wensleydale , 12.69 , 174.48749999999998
Cheddar , 0.74 , 1.85 , Wensleydale , 32.54 , 447.425
Cheddar , 0.75 , 1.875 , Cheddar , 13.04 , 32.599999999999994
Cheddar , 0.75 , 1.875 , Wensleydale , 19.93 , 274.0375
Cheddar , 0.76 , 1.9 , Swiss , 6.1 , 57.949999999999996
Cheddar , 0.76 , 1.9 , Wensleydale , 7.03 , 96.66250000000001
Swiss , 0.2 , 1.9000000000000001 , Cheddar , 2.92 , 7.3
Swiss , 0.2 , 1.9000000000000001 , Wensleydale , 81.16 , 1115.95
Cheddar , 0.77 , 1.925 , Wensleydale , 5.3 , 72.875
Cheddar , 0.77 , 1.925 , Cheddar , 37.1 , 92.75
Wensleydale , 0.14 , 1.9250000000000003 , Wensleydale , 0.0 , 0.0
Wensleydale , 0.14 , 1.9250000000000003 , Wensleydale , 9.2 , 126.49999999999999
Wensleydale , 0.14 , 1.9250000000000003 , Swiss , 61.2 , 581.4
Wensleydale , 0.14 , 1.9250000000000003 , Wensleydale , 45.29 , 622.7375
Cheddar , 0.78 , 1.9500000000000002 , Wensleydale , 7.41 , 0.0
Cheddar , 0.79 , 1.975 , Cheddar , 76.23 , 0.0
Swiss , 0.21 , 1.9949999999999999 , Swiss , 5.86 , 55.67
Swiss , 0.21 , 1.9949999999999999 , Wensleydale , 9.79 , 134.61249999999998
Cheddar , 0.8 , 2.0 , Cheddar , 17.32 , 43.3
Cheddar , 0.8 , 2.0 , Cheddar , 73.47 , 183.675
Cheddar , 0.8 , 2.0 , Swiss , 19.77 , 187.815
Cheddar , 0.8 , 2.0 , Wensleydale , 19.66 , 270.325
Cheddar , 0.8 , 2.0 , Swiss , 31.87 , 302.765
Cheddar , 0.8 , 2.0 , Swiss , 31.99 , 303.905
Cheddar , 0.81 , 2.0250000000000004 , Wensleydale , 5.8 , 0.0
Cheddar , 0.82 , 2.05 , Wensleydale , 10.46 , 143.82500000000002
Cheddar , 0.82 , 2.05 , Cheddar , 58.72 , 146.8
Cheddar , 0.82 , 2.05 , Wensleydale , 18.32 , 251.9
Cheddar , 0.82 , 2.05 , Wensleydale , 62.26 , 856.0749999999999
Wensleydale , 0.15 , 2.0625 , Wensleydale , 6.16 , 0.0
Cheddar , 0.83 , 2.0749999999999997 , Cheddar , 3.7 , 9.25
Cheddar , 0.83 , 2.0749999999999997 , Wensleydale , 27.51 , 378.26250000000005
Cheddar , 0.83 , 2.0749999999999997 , Swiss , 55.96 , 531.62
Swiss , 0.22 , 2.09 , Cheddar , 2.38 , 5.949999999999999
Swiss , 0.22 , 2.09 , Swiss , 73.51 , 698.345
Swiss , 0.22 , 2.09 , Wensleydale , 54.11 , 744.0125
Cheddar , 0.84 , 2.1 , Swiss , 4.6 , 0.0
Cheddar , 0.86 , 2.15 , Wensleydale , 14.82 , 0.0
Cheddar , 0.87 , 2.175 , Cheddar , 0.71 , 1.775
Cheddar , 0.87 , 2.175 , Swiss , 2.03 , 19.284999999999997
Swiss , 0.23 , 2.185 , Wensleydale , 2.68 , 36.85
Swiss , 0.23 , 2.185 , Wensleydale , 5.53 , 76.03750000000001
Wensleydale , 0.16 , 2.2 , Swiss , 0.0 , 0.0
Wensleydale , 0.16 , 2.2 , Cheddar , 9.72 , 24.3
Wensleydale , 0.16 , 2.2 , Swiss , 15.98 , 151.81
Wensleydale , 0.16 , 2.2 , Wensleydale , 22.67 , 311.71250000000003
Cheddar , 0.88 , 2.2 , Wensleydale , 22.71 , 312.2625
Cheddar , 0.88 , 2.2 , Wensleydale , 28.0 , 385.0
Cheddar , 0.89 , 2.225 , Cheddar , 29.74 , 74.35
Cheddar , 0.89 , 2.225 , Swiss , 18.04 , 171.38
Cheddar , 0.9 , 2.25 , Swiss , 5.1 , 48.449999999999996
Cheddar , 0.9 , 2.25 , Swiss , 69.28 , 658.16
Cheddar , 0.91 , 2.275 , Cheddar , 15.89 , 39.725
Cheddar , 0.91 , 2.275 , Swiss , 14.3 , 135.85
Swiss , 0.24 , 2.28 , Cheddar , 8.65 , 21.625
Swiss , 0.24 , 2.28 , Cheddar , 14.46 , 36.150000000000006
Swiss , 0.24 , 2.28 , Cheddar , 32.3 , 80.75
Swiss , 0.24 , 2.28 , Wensleydale , 7.55 , 103.8125
Swiss , 0.24 , 2.28 , Cheddar , 42.66 , 106.64999999999999
Swiss , 0.24 , 2.28 , Swiss , 16.06 , 152.57
Swiss , 0.24 , 2.28 , Wensleydale , 20.78 , 285.725
Cheddar , 0.93 , 2.325 , Wensleydale , 4.36 , 59.95
Cheddar , 0.93 , 2.325 , Swiss , 9.84 , 93.48
Cheddar , 0.93 , 2.325 , Cheddar , 56.98 , 142.45
Wensleydale , 0.17 , 2.3375000000000004 , Wensleydale , 7.95 , 109.3125
Wensleydale , 0.17 , 2.3375000000000004 , Swiss , 30.45 , 289.275
Wensleydale , 0.17 , 2.3375000000000004 , Wensleydale , 36.5 , 501.875
Wensleydale , 0.17 , 2.3375000000000004 , Wensleydale , 41.65 , 572.6875
Cheddar , 0.94 , 2.3499999999999996 , Wensleydale , 11.4 , 0.0
Swiss , 0.25 , 2.375 , Cheddar , 17.3 , 43.25
Swiss , 0.25 , 2.375 , Swiss , 7.06 , 67.07
Cheddar , 0.95 , 2.375 , Swiss , 10.8 , 102.60000000000001
Swiss , 0.25 , 2.375 , Swiss , 65.87 , 625.7650000000001
Swiss , 0.25 , 2.375 , Swiss , 75.27 , 715.0649999999999
Cheddar , 0.97 , 2.425 , Cheddar , 26.83 , 67.07499999999999
Cheddar , 0.97 , 2.425 , Swiss , 11.93 , 113.335
Cheddar , 0.98 , 2.45 , Cheddar , 43.7 , 0.0
Swiss , 0.26 , 2.47 , Swiss , 16.35 , 0.0
Cheddar , 0.99 , 2.475 , Cheddar , 11.43 , 28.575
Cheddar , 0.99 , 2.475 , Swiss , 3.8 , 36.1
Cheddar , 0.99 , 2.475 , Cheddar , 18.69 , 46.725
Cheddar , 1.0 , 2.5 , Wensleydale , 0.06 , 0.0
Cheddar , 1.01 , 2.525 , Wensleydale , 20.02 , 0.0
Swiss , 0.27 , 2.5650000000000004 , Wensleydale , 64.67 , 0.0
Cheddar , 1.04 , 2.6 , Wensleydale , 7.62 , 104.775
Cheddar , 1.04 , 2.6 , Cheddar , 47.18 , 117.95
Cheddar , 1.04 , 2.6 , Wensleydale , 9.12 , 125.39999999999999
Wensleydale , 0.19 , 2.6125 , Wensleydale , 0.77 , 10.5875
Wensleydale , 0.19 , 2.6125 , Cheddar , 27.92 , 69.80000000000001
Cheddar , 1.05 , 2.625 , Cheddar , 20.37 , 0.0
Cheddar , 1.06 , 2.6500000000000004 , Cheddar , 5.19 , 12.975000000000001
Cheddar , 1.06 , 2.6500000000000004 , Cheddar , 38.92 , 97.30000000000001
Swiss , 0.28 , 2.66 , Wensleydale , 2.37 , 32.5875
Swiss , 0.28 , 2.66 , Wensleydale , 89.67 , 1232.9625
Cheddar , 1.07 , 2.6750000000000003 , Cheddar , 11.24 , 28.1
